"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","13","26","11.375","18.25","0","0","69","0","tepi"
"10","1","1","26","46","19.3","29.7","4","0","53","0","tepi"
"12","1","1","33","49","25.1666666666667","37","6","0","50","0","tepi"
"14","1","1","38","51","35.7142857142857","43.7857142857143","6","0","32","0","tepi"
"16","1","1","39","52","37.5","43.875","5","0","37","0","tepi"
"18","1","1","42","62","38.7222222222222","46.7777777777778","8","0","32","0","tepi"
"20","1","1","29","52","35.8","45.5","6","0","39","0","tepi"
"22","1","1","41","67","42.9090909090909","55.7727272727273","5","0","33","0","tepi"
"24","1","1","42","59","46.5833333333333","55","5","0","26","0","tepi"
"26","1","1","38","50","46.1923076923077","54.9615384615385","7","0","29","0","tepi"
"28","1","1","43","57","48.0357142857143","54.3214285714286","8","0","30","0","tepi"
"30","1","1","53","64","55.4","62.7333333333333","2","0","24","0","tepi"
"8","2","1","38","46","15.875","20.625","3","0","61","0","tepi"
"10","2","1","41","45","18.8","21.1","7","0","58","0","tepi"
"12","2","1","57","61","27.75","30.6666666666667","6","0","48","0","tepi"
"14","2","1","57","62","32.3571428571429","36.5714285714286","5","0","43","0","tepi"
"16","2","1","62","66","36.25","40.0625","1","0","35","0","tepi"
"18","2","1","59","67","39.8333333333334","46.3333333333333","0","0","36","0","tepi"
"20","2","1","65","71","40.8","45.45","6","0","31","0","tepi"
"22","2","1","67","74","45.8181818181818","50.7272727272727","4","0","26","0","tepi"
"24","2","1","69","74","47.1666666666667","52.25","4","0","31","0","tepi"
"26","2","1","79","83","55.8846153846154","59.8076923076923","4","0","20","0","tepi"
"28","2","1","63","69","48.5714285714285","53.3571428571428","8","0","31","0","tepi"
"30","2","1","66","70","52.7","56.0666666666667","5","0","26","0","tepi"
