"ncohort","utype","rtype","bd.sel","od.sel","bd.pts","od.pts","earlystop","overdose","poorall","ov.sel","design"
"8","1","1","35","52","27.875","39.75","7","6.5","45","2","tepi"
"10","1","1","32","48","28.8","37.1","4","5.7","39","2","tepi"
"12","1","1","44","56","33.5833333333333","41.4166666666667","6","5.33333333333333","39","2","tepi"
"14","1","1","38","58","28.9285714285714","42.3571428571429","2","7","52","2","tepi"
"16","1","1","49","66","26.5","41.0625","6","9.0625","58","2","tepi"
"18","1","1","54","65","35.1111111111111","45.5","3","8.61111111111111","44","0","tepi"
"20","1","1","37","56","27.8","39.8","4","7.25","55","1","tepi"
"22","1","1","39","58","28.3181818181818","42.8636363636364","4","5.95454545454545","54","0","tepi"
"24","1","1","48","65","32.4583333333333","43.5416666666667","2","6.16666666666667","51","1","tepi"
"26","1","1","46","64","27.0384615384616","39.3846153846154","4","7.69230769230769","63","3","tepi"
"28","1","1","52","60","31.9642857142857","43.1071428571429","5","4.35714285714286","58","0","tepi"
"30","1","1","46","63","29.0333333333334","41.8333333333334","3","5.4","59","0","tepi"
"8","2","1","38","58","28.125","42","2","4.5","43","7","tepi"
"10","2","1","42","67","32.4","45.9","5","4","36","3","tepi"
"12","2","1","28","49","27.6666666666667","41.1666666666667","8","6.75","50","4","tepi"
"14","2","1","38","67","28.2142857142857","48.8571428571428","6","6.42857142857143","48","3","tepi"
"16","2","1","40","64","30.625","48.5","7","6","48","1","tepi"
"18","2","1","34","60","30.6666666666667","50.2222222222222","5","6.44444444444444","54","5","tepi"
"20","2","1","28","58","26.8","49.3","5","9.45","57","8","tepi"
"22","2","1","33","65","33.0454545454546","58.1363636363636","2","7.90909090909091","54","8","tepi"
"24","2","1","34","65","33","58.6666666666666","5","4.75","51","3","tepi"
"26","2","1","34","62","28.8846153846154","51.8076923076923","7","8.03846153846153","60","4","tepi"
"28","2","1","41","68","33.6785714285714","57.8928571428571","6","4.96428571428572","50","0","tepi"
"30","2","1","49","69","35.9333333333333","53.2333333333333","4","5.93333333333333","47","0","tepi"
